City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
19,Muros,ES,49.23,42.7762,-9.0603,Apartment Av. Castelao
28,Gafanha Da Encarnacao,PT,45.28,40.6181,-8.733,Hotel Barra
36,Severo-Kurilsk,RU,28.45,50.6789,156.125,Kak Doma
39,Punta Arenas,CL,48.31,-53.15,-70.9167,Hotel Hain
40,Lyubashivka,UA,34.86,47.8372,30.2598,Hotelʹ
41,Lata,PT,39.61,40.1629,-8.3327,Casa Maquia
42,Bonavista,CA,36.12,48.6499,-53.1147,Abbott's Bed & Breakfast
43,Ondarroa,ES,41.79,43.3167,-2.4167,Hotel Arbe
45,Qinzhou,CN,48.65,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
85,Petropavlovsk-Kamchatskiy,RU,25.39,53.0452,158.6483,The Hotel Petropavlovsky
98,Mahon,ES,48.76,39.8885,4.2658,ARTIEM Capri
99,Manzil Salim,TN,30.2,35.8567,8.4765,mohamed ben khlil omri
100,Guangyuan,CN,43.92,32.442,105.823,Guangyuan Poetry Hotel
104,Glendive,US,37.49,47.1053,-104.7125,Baymont by Wyndham Glendive
105,Leninskoye,KZ,31.93,41.7589,69.3864,Леонид рахманов
112,Nikolskoye,RU,26.49,59.7035,30.7861,Tourist House - Sablino
114,Lasa,IT,42.26,46.6166,10.7002,Pension Feldgärtenhof
128,Zonguldak,TR,32.0,41.25,31.8333,Yazioren Koyu Muhtarligi
129,Ushuaia,AR,44.26,-54.8,-68.3,Albatross Hotel
131,Rolla,US,32.88,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
133,Villacarrillo,ES,37.99,38.1156,-3.0848,Hotel Sierra de Las Villas
149,Lake Cowichan,CA,42.85,48.825,-124.0546,Boutique Waterfront Lodge
150,Olafsvik,IS,27.19,64.8945,-23.7142,Hotel Olafsvik
162,Garden City,US,25.21,42.3256,-83.331,Quality Inn & Suites Banquet Center
170,Grindavik,IS,28.35,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
191,Ancud,CL,49.53,-41.8697,-73.8203,Hotel Arena Gruesa
198,Wajima,JP,34.48,37.4,136.9,Wajiima Onsen Yashio
200,Marystown,CA,35.85,47.1666,-55.1483,Marystown Hotel & Convention Centre
206,Constantine,DZ,33.21,36.365,6.6147,Grand Hotel Cirta
223,Bay Roberts,CA,36.03,47.5999,-53.2648,Stonewall Inn
226,Roald,NO,32.14,62.5833,6.1333,Flem Cabins
230,Asau,RO,34.72,46.4333,26.4,Casa Mika Ciobanus
