City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,81.57,69,100,13.44,TO,2022-01-31 02:39:24
1,Upernavik,72.7868,-56.1549,-7.04,97,100,3.85,GL,2022-01-31 02:39:24
2,Busselton,-33.65,115.3333,74.08,37,99,16.28,AU,2022-01-31 02:39:24
3,Kirakira,-10.4544,161.9205,84.79,74,63,7.18,SB,2022-01-31 02:39:25
4,Rikitea,-23.1203,-134.9692,77.41,64,100,5.79,PF,2022-01-31 02:39:25
5,Longyearbyen,78.2186,15.6401,8.44,66,40,18.41,SJ,2022-01-31 02:39:26
6,Carauari,-4.8828,-66.8958,72.1,97,72,2.55,BR,2022-01-31 02:39:26
7,Mataura,-46.1927,168.8643,70.48,58,87,5.12,NZ,2022-01-31 02:39:27
8,Yulara,-25.2406,130.9889,78.64,83,100,14.97,AU,2022-01-31 02:39:27
9,New Norfolk,-42.7826,147.0587,85.87,26,0,3.0,AU,2022-01-31 02:36:32
10,Bandar-E Lengeh,26.5579,54.8807,60.91,72,0,6.91,IR,2022-01-31 02:39:28
11,Iqaluit,63.7506,-68.5145,-25.31,74,0,5.01,CA,2022-01-31 02:39:28
12,Arraial Do Cabo,-22.9661,-42.0278,74.66,96,100,8.48,BR,2022-01-31 02:39:29
13,Hermanus,-34.4187,19.2345,72.81,81,100,13.58,ZA,2022-01-31 02:39:30
14,Harrai,22.6167,79.2167,63.77,30,0,3.33,IN,2022-01-31 02:39:30
15,Bubaque,11.2833,-15.8333,77.38,73,55,12.53,GW,2022-01-31 02:39:30
16,Cape Town,-33.9258,18.4232,70.12,80,0,3.0,ZA,2022-01-31 02:39:31
17,Qaanaaq,77.484,-69.3632,-5.15,94,100,3.78,GL,2022-01-31 02:39:31
18,East London,-33.0153,27.9116,73.38,84,100,13.29,ZA,2022-01-31 02:35:29
19,Muros,42.7762,-9.0603,49.23,79,0,8.08,ES,2022-01-31 02:39:32
20,Port Alfred,-33.5906,26.891,72.66,89,100,13.09,ZA,2022-01-31 02:39:32
21,Saint-Philippe,-21.3585,55.7679,74.79,86,72,11.41,RE,2022-01-31 02:39:33
22,Sulangan,11.1373,123.7228,81.82,73,19,9.69,PH,2022-01-31 02:39:33
23,Atuona,-9.8,-139.0333,78.26,74,16,15.68,PF,2022-01-31 02:39:34
24,Codrington,-38.2667,141.9667,79.59,56,2,11.41,AU,2022-01-31 02:39:34
25,Mar Del Plata,-38.0023,-57.5575,66.22,77,100,18.01,AR,2022-01-31 02:39:02
26,Dakar,14.6937,-17.4441,70.68,80,100,21.3,SN,2022-01-31 02:39:35
27,Hithadhoo,-0.6,73.0833,82.13,71,6,11.65,MV,2022-01-31 02:39:35
28,Gafanha Da Encarnacao,40.6181,-8.733,45.28,53,40,3.42,PT,2022-01-31 02:39:36
29,Ranghulu,46.65,124.8667,5.9,81,11,4.36,CN,2022-01-31 02:39:36
30,Butaritari,3.0707,172.7902,81.9,76,67,19.73,KI,2022-01-31 02:39:37
31,Zhigansk,66.7697,123.3711,-30.1,98,96,0.2,RU,2022-01-31 02:39:37
32,Saint-Joseph,-21.3667,55.6167,73.78,83,48,11.74,RE,2022-01-31 02:39:38
33,Bredasdorp,-34.5322,20.0403,72.28,88,100,8.05,ZA,2022-01-31 02:39:38
34,Saskylakh,71.9167,114.0833,-24.25,100,92,2.82,RU,2022-01-31 02:39:39
35,Golynki,54.8696,31.3861,27.73,98,100,3.4,RU,2022-01-31 02:39:39
36,Severo-Kurilsk,50.6789,156.125,28.45,95,100,9.06,RU,2022-01-31 02:39:39
37,Port Hedland,-20.3167,118.5667,98.65,36,100,6.91,AU,2022-01-31 02:39:40
38,Dhidhdhoo,6.8833,73.1,81.32,77,22,9.84,MV,2022-01-31 02:39:40
39,Punta Arenas,-53.15,-70.9167,48.31,66,75,25.32,CL,2022-01-31 02:39:41
40,Lyubashivka,47.8372,30.2598,34.86,76,100,21.97,UA,2022-01-31 02:39:41
41,Lata,40.1629,-8.3327,39.61,55,36,3.47,PT,2022-01-31 02:39:42
42,Bonavista,48.6499,-53.1147,36.12,74,65,31.85,CA,2022-01-31 02:39:42
43,Ondarroa,43.3167,-2.4167,41.79,90,91,4.94,ES,2022-01-31 02:39:43
44,Jidong,45.2167,131.0833,8.46,76,13,5.77,CN,2022-01-31 02:40:43
45,Qinzhou,21.95,108.6167,48.65,86,100,14.9,CN,2022-01-31 02:40:44
46,Aksarka,66.5606,67.7975,-13.36,100,99,3.27,RU,2022-01-31 02:40:44
47,Rudbar,30.15,62.6,50.94,45,53,2.68,AF,2022-01-31 02:40:44
48,Cuamba,-14.8031,36.5372,65.66,97,15,1.12,MZ,2022-01-31 02:40:45
49,Hovd,48.0056,91.6419,-11.13,83,30,0.72,MN,2022-01-31 02:40:45
50,Boa Vista,2.8197,-60.6733,82.38,57,40,9.22,BR,2022-01-31 02:38:36
51,Le Port,-20.9373,55.2919,75.2,72,42,0.92,RE,2022-01-31 02:40:46
52,Hilo,19.7297,-155.09,75.25,74,25,3.0,US,2022-01-31 02:40:46
53,Bluff,-46.6,168.3333,70.81,83,93,2.62,NZ,2022-01-31 02:40:46
54,Darhan,49.4867,105.9228,-7.62,94,29,3.51,MN,2022-01-31 02:40:47
55,Khatanga,71.9667,102.5,-6.7,99,98,7.83,RU,2022-01-31 02:40:47
56,Talnakh,69.4865,88.3972,-16.22,93,80,9.15,RU,2022-01-31 02:40:48
57,Oistins,13.0667,-59.5333,77.09,83,40,17.27,BB,2022-01-31 02:40:48
58,Umba,66.6871,34.3429,-0.09,98,100,4.16,RU,2022-01-31 02:40:49
59,Thompson,55.7435,-97.8558,-2.04,84,0,3.44,CA,2022-01-31 02:40:49
60,Lebu,-37.6167,-73.65,56.97,75,0,20.33,CL,2022-01-31 02:40:49
61,Fortuna,40.5982,-124.1573,50.67,91,75,4.61,US,2022-01-31 02:40:50
62,Sao Filipe,14.8961,-24.4956,71.2,72,100,10.38,CV,2022-01-31 02:40:50
63,Tual,-5.6667,132.75,83.97,77,100,19.62,ID,2022-01-31 02:40:51
64,Tasiilaq,65.6145,-37.6368,-0.92,61,100,7.16,GL,2022-01-31 02:40:51
65,Comodoro Rivadavia,-45.8667,-67.5,51.66,43,0,4.61,AR,2022-01-31 02:40:51
66,Dikson,73.5069,80.5464,-4.72,94,100,22.39,RU,2022-01-31 02:40:52
67,Narsaq,60.9167,-46.05,18.27,90,100,16.91,GL,2022-01-31 02:40:52
68,Bemidji,47.4736,-94.8803,16.25,67,75,8.05,US,2022-01-31 02:40:53
69,Merauke,-8.4667,140.3333,85.64,66,100,9.66,ID,2022-01-31 02:40:53
70,Verkhoyansk,67.5447,133.385,-31.56,98,81,1.32,RU,2022-01-31 02:40:54
71,Marsh Harbour,26.5412,-77.0636,63.14,61,87,9.84,BS,2022-01-31 02:40:54
72,Hobyo,5.3505,48.5268,75.92,82,100,15.1,SO,2022-01-31 02:40:55
